section,cluster,id,address,longitude_x,latitude_y,assignment,datebegin,city,state,dateend
NNE,99,NNE-140099,621 N AMERICAN ST,-75.1419797375567,39.9617116020262,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,713,S-120713,620 HOFFMAN ST,-75.1570195733666,39.9246719887096,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
NNW,250,NNW-1800250,62 E SHARPNACK ST,-75.18251881741909,40.0503513900965,No Tx,4/19/2013,Philadelphia,PA,4/15/2015
NNE,99,NNE-140099,619 N AMERICAN ST,-75.1419893438924,39.9616715647507,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
NNE,296,NNE-250296,618 W HUNTINGDON ST,-75.1431508288924,39.9906859285783,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNE,296,NNE-250296,612 W HAROLD ST,-75.14291605123159,39.991074374369,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
NNE,296,NNE-250296,610 W HAROLD ST,-75.1428680502177,39.9910640596243,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
S,713,S-120713,607 HOFFMAN ST,-75.1566018843253,39.9248538059047,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,713,S-120713,605 HOFFMAN ST,-75.1565540247861,39.924845880683,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
W,495,W-230495,5743 BALTIMORE AVE,-75.23979885322071,39.9461755079863,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,495,W-230495,5741 BALTIMORE AVE,-75.2397584170336,39.9462331380744,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,495,W-230495,5739 BALTIMORE AVE,-75.2396985079781,39.9462352187304,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
NNW,104,NNW-0900104,5738 CRITTENDEN ST,-75.1588231063317,40.0530476026674,No Tx,4/18/2013,Philadelphia,PA,4/15/2015
NNW,104,NNW-0900104,5736 CRITTENDEN ST,-75.15877973501431,40.0530214155195,No Tx,4/18/2013,Philadelphia,PA,4/15/2015
W,43,W-040043,5612 APPLETREE ST,-75.2329122794407,39.9628989852867,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,43,W-040043,5610 APPLETREE ST,-75.2328623672519,39.9628934417315,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
NNW,587,NNW-2900587,5539 SPRAGUE ST,-75.1593321046235,40.0473983906646,Green,6/20/2013,Philadelphia,PA,4/15/2015
NNW,587,NNW-2900587,5535 SPRAGUE ST,-75.1592210291663,40.0473304547096,Green,6/20/2013,Philadelphia,PA,4/15/2015
NNW,587,NNW-2900587,5530 MATTHEWS ST,-75.15891420990749,40.0479419665582,Green,6/20/2013,Philadelphia,PA,4/15/2015
W,262,W-140262,5527 JEFFERSON ST,-75.2330983676121,39.9790264809116,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,199,W-100199,5527 BEAUMONT ST,-75.2284794509107,39.9412462917022,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,262,W-140262,5525 JEFFERSON ST,-75.23304566919769,39.9790345233582,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,199,W-100199,5525 BEAUMONT ST,-75.2284358546371,39.9412751976563,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,262,W-140262,5523 JEFFERSON ST,-75.2329935376201,39.9790374911479,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,199,W-100199,5523 BEAUMONT ST,-75.22839293327399,39.9413054223909,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,262,W-140262,5521 JEFFERSON ST,-75.23294196130141,39.9790454997133,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,199,W-100199,5521 BEAUMONT ST,-75.22834813512419,39.9413367347614,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,199,W-100199,5519 BEAUMONT ST,-75.2283046551093,39.9413673841822,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
S,4201,S-274201,530 DICKINSON ST,-75.15467464620011,39.9297676533967,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
S,209,S-04209,523 CANTRELL ST,-75.1560065162117,39.9222562671402,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,209,S-04209,522 CANTRELL ST,-75.1560790687526,39.9220454815159,No Tx,4/16/2013,Philadelphia,PA,4/15/2015
S,4201,S-274201,518 DICKINSON ST,-75.1543318666089,39.9297224959295,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
W,609,W-120609,5144 FUNSTON ST,-75.22362046126131,39.9658188373466,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,609,W-120609,5140 FUNSTON ST,-75.2235166518456,39.9658366267845,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,177,W-090177,5139 MASTER ST,-75.2255590543141,39.9745638698504,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,177,W-090177,5137 MASTER ST,-75.2254953985172,39.9745686643808,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,177,W-090177,5134 HARLAN ST,-75.225407106067,39.9748103276273,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,177,W-090177,5132 HARLAN ST,-75.2252772624356,39.9748163539245,Green,4/20/2013,Philadelphia,PA,4/15/2015
W,609,W-120609,5122 RENO ST,-75.22310156248361,39.9663038374508,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,609,W-120609,5108 FUNSTON ST,-75.2226906004978,39.9659761800983,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
W,609,W-120609,5106 FUNSTON ST,-75.22263882635809,39.9659847784762,No Tx,4/20/2013,Philadelphia,PA,4/15/2015
NNE,158,NNE-200158,500-02 DIAMOND ST,-75.1424047200001,39.982711757714,No Tx,4/17/2013,Philadelphia,PA,4/15/2015
W,10,W-020010,4813 REINHARD ST,-75.21460185705899,39.9430500688781,Green,4/17/2013,Philadelphia,PA,4/15/2015
W,10,W-020010,4811 REINHARD ST,-75.2145486822245,39.9430642391491,Green,4/17/2013,Philadelphia,PA,4/15/2015
NNW,250,NNW-1800250,47 E SHARPNACK ST,-75.183083474307,40.0504375653866,No Tx,4/19/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4668 LINMORE AVE,-75.2099343660701,39.9427439340684,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4666 LINMORE AVE,-75.2098588550127,39.9427243389942,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4662 LINMORE AVE,-75.20975598501251,39.9427278950611,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4660 LINMORE AVE,-75.2097055306065,39.9427301965152,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4658 LINMORE AVE,-75.20965615992409,39.9427318187241,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
W,6,W-01006,4656 LINMORE AVE,-75.2096048695915,39.9427333418887,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
NNE,441,NNE-270441,4438 ELIZABETH ST,-75.0902039199793,40.0152619755609,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,441,NNE-270441,4436 ELIZABETH ST,-75.0902550003229,40.0152377849247,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,441,NNE-270441,4434 ELIZABETH ST,-75.0903067056352,40.0152149253023,Green,4/19/2013,Philadelphia,PA,4/15/2015
NNE,460,NNE-130460,4432 N 04TH ST,-75.1327439113745,40.0187065079994,Placebo/mow,4/16/2013,Philadelphia,PA,4/15/2015
